SampleID,Condition,Expression
9af8b2eb-3dbb-4688-a5fd-15abc0460f57,Primary Tumor,6.412112515149655
20daa4af-7d88-42c8-9279-34372e687e5d,Primary Tumor,7.213403666286831
2fe6f165-3396-4abd-a0cd-07968d826828,Solid Tissue Normal,7.372936431495484
5eefc0d2-90b4-495f-803b-cfe9f158b980,Primary Tumor,6.696106519257443
c7ee3fa6-4a2f-4824-a098-91ce6c1223c3,Primary Tumor,7.441711704543605
27884724-a2c0-4b3e-921a-54e5f8bf1faa,Primary Tumor,7.931786457528647
c4bcc6b0-96a1-452b-9169-b4a16bcb9403,Primary Tumor,6.518882867147121
45d4b468-9089-46fd-8b5e-ad80a5148abd,Primary Tumor,6.360380080078344
0765d9e8-0fec-46bc-832a-89945435d5b1,Primary Tumor,8.65893122229766
c97d6c2a-9866-4893-8cff-ee747c4a4550,Primary Tumor,7.8905688982689695
66e79734-9053-4f61-9a32-bee376f5dab0,Primary Tumor,6.158256228811341
8148f34c-1ddd-454a-8761-8b76e97e8534,Primary Tumor,3.3130426409919735
16dc015e-0f5b-4278-a0cb-9ae30a280161,Primary Tumor,7.898518556646656
231aa983-3ef3-476b-bdb3-bab9d66f71e6,Primary Tumor,7.44468031710289
242a2880-95da-453f-892d-fafd49a4865e,Primary Tumor,5.652406183614957
313f5ae9-bbea-41d6-82d5-9242b2610d91,Primary Tumor,8.419085449975139
7f9624e7-0e7b-4a2b-8413-1737f0f7c1d0,Primary Tumor,7.262498931359202
6d0c282d-43d7-44fb-94e6-25771385e326,Primary Tumor,6.840168622080432
76cc364e-8214-4a17-8083-9ea80e74c400,Primary Tumor,3.8376203649152734
e21fc8e8-1f42-4c08-a54b-0bcc0f70d816,Primary Tumor,4.465497839455395
ca34be5f-799c-4df4-af91-ec8a9e958d6c,Primary Tumor,9.302470542426526
3563bce2-6547-4081-883e-1e7e498c83be,Primary Tumor,7.783598742871279
892294a6-6b94-4284-bae3-9eb0bdc853f6,Primary Tumor,2.6713386683180933
54a00dd0-503f-471f-88e4-8d6fcdcf8483,Solid Tissue Normal,6.616879614911595
df86c451-62c7-43bc-9b11-463181a5a98a,Solid Tissue Normal,7.245762796792483
43b8c3f7-2d0b-4020-807d-b7386825ecc0,Primary Tumor,0.7720545519333253
85feefbe-6aad-430b-a882-c71e4a5d1e07,Primary Tumor,7.254748031626641
d3986831-ba2a-4a25-8eb0-b074cbd7edac,Primary Tumor,7.327015434885928
e1a4e922-876b-45d1-8fb6-5d39dbf6ff60,Solid Tissue Normal,6.999948152215323
5b99d571-43d2-4d26-9a3b-0a299a0ce048,Primary Tumor,8.291776204792498
9a64a124-9787-4378-ba01-b79aa183f25f,Primary Tumor,7.0968374160656476
b5b25f89-cd67-44e5-89bd-be2bc1def4d8,Primary Tumor,7.427990761980592
3baa9c28-dfb3-4ec3-9e3c-1d2f1421b00f,Primary Tumor,7.542739383795284
3c9960fd-92f3-4bab-9771-933c95edc37f,Primary Tumor,6.686234374422967
c2371da5-868b-4788-91ec-c9d4bd8d8085,Primary Tumor,7.260467959414755
7b3f1e0a-2d0a-40a6-9ccd-deb403fd2f16,Primary Tumor,7.101149987362887
72d9c332-92e3-4f9c-899d-1de9969b1bd6,Primary Tumor,4.164351859866744
94d8b11e-0198-4f40-987a-44691b3b03fa,Primary Tumor,7.34898392227367
0b73f593-b6e8-4897-9b9b-f09e65e436b7,Primary Tumor,8.65705543525502
bae501f3-c0ba-4646-8027-0623869176f4,Primary Tumor,7.06982029576707
24fa0c9f-c679-486d-846a-66fbc8d30b0a,Primary Tumor,6.345985313059231
72db648d-0ff7-418b-b7bd-590eda282f74,Primary Tumor,6.178975513571536
aabb1f03-8a4e-4d38-b09e-d9b56b5b921c,Primary Tumor,8.16119488139225
7f67633b-3eba-4891-94aa-b3e38f6927ae,Primary Tumor,8.159695781386262
e37ffff5-f795-4ca9-b46b-f59344db48af,Primary Tumor,7.826254834011135
08971a88-cb64-4030-93e5-08d77d2ed654,Primary Tumor,5.101448380489909
5601dc73-ba9b-4f53-95ef-5fc3de23640c,Primary Tumor,7.5089031869201674
9bdba133-a1e0-4482-add2-af6493ebdbe5,Primary Tumor,5.911811402065996
9dffc7c0-da78-48a9-b438-a4886a45048e,Primary Tumor,7.843042922217586
fc757476-1d31-470b-b648-79608b201bdc,Primary Tumor,6.552006573575566
091d2c9e-a8cb-4212-a434-7c7d4fd75f7b,Primary Tumor,7.108748161707837
58dcd45a-714f-4a22-b367-813dd41829de,Primary Tumor,4.828956476417663
7f827e47-e374-4c0e-8fec-b53018bfad03,Primary Tumor,7.29670701240039
68b00cb6-4335-4c64-a3e0-0c29ed574480,Primary Tumor,8.580310582738615
270a13b3-158c-4251-8c6a-5bc5275e0ebb,Primary Tumor,7.421093669693096
f4288244-7a1c-4a61-98f6-6c1a06ccde2d,Primary Tumor,1.7619660307369442
f19a1a66-ddc9-4567-80db-d009bb455b25,Primary Tumor,7.165832568431933
48d5fe32-37ca-4717-af64-1343a3561849,Primary Tumor,9.467016329300536
2ab0f01f-2f66-4489-9de7-2a0d61b6ea04,Primary Tumor,6.320002616037243
9726aa3d-8a66-4568-92e5-c092c05a9a5d,Primary Tumor,6.93931004283978
218eb2f2-24b1-4e41-9071-26ed97a2edc1,Primary Tumor,8.024023187844845
b9610938-1f47-4556-ae92-794df8ae6401,Primary Tumor,5.604750393193949
a62db40f-4e4f-496c-84ed-ab9500b89757,Primary Tumor,6.7967846195418495
8e14dba9-6132-483c-892b-b244704fdc38,Primary Tumor,6.937845763969265
dc8e99bb-f021-44e4-8c60-213405ee156a,Primary Tumor,7.209736028181062
bbbd3cd5-cfd3-418b-ab3a-243de430a5e1,Primary Tumor,7.639973727453639
7abd9747-a947-4b15-b51c-c82cda9f065c,Primary Tumor,6.190223715161297
668d7295-629a-496a-b525-b5b8157baf11,Primary Tumor,7.442410263460185
82e982fc-138a-48f8-8127-fb20caa019a2,Primary Tumor,7.474079056995964
4e27513c-172b-4d19-a397-ade6df353e6c,Primary Tumor,8.65437574716076
0c212a58-9a27-4850-bb22-540502e893dc,Primary Tumor,4.960191961308764
efb3bf8d-7d14-42d6-8845-e81af909d47f,Solid Tissue Normal,7.368288185534677
8fadb6d4-de92-4301-9b6e-7dd857fec978,Primary Tumor,8.198838383138002
4a5c811e-d5d9-48d7-9bcc-4c9dc72df8f4,Primary Tumor,7.047595097359539
6d4fc521-df92-4d04-8118-d363ac31bfa8,Primary Tumor,6.784399284280013
77b2c8e8-d630-4b66-be6e-db594df4e0ec,Primary Tumor,8.488478455892981
475fdbbb-3d3a-4d56-8d0e-34dfb8cb6346,Primary Tumor,6.391900011334865
443ccb95-79d0-47ea-9915-18d5bc10eac4,Primary Tumor,6.63792173781862
3d08a99f-46c1-4e06-a042-521a54ebbe1e,Primary Tumor,2.5549817023668515
7c802f6c-03bd-4612-835f-c82f6b8f2137,Primary Tumor,7.940899073020079
667a9066-debb-4f43-94f7-3277e66d8991,Primary Tumor,6.91434087886201
de82c428-0b33-48e0-a337-42ac0a434a24,Primary Tumor,6.38867001100282
754343b4-f9f5-478a-a076-2791b8857c3e,Primary Tumor,5.652208254532362
8a518a19-2c85-42ec-b027-47139aa442d4,Primary Tumor,0.5764737651048308
9711a58c-08fc-428f-93a1-3d3db7df213e,Primary Tumor,1.7146191959833268
12f5eaa4-9f64-4465-bfa6-3d9307e9f980,Primary Tumor,7.7026963249944105
ac98f8d2-fdc4-4925-8fce-7e86d7b89dec,Primary Tumor,7.0449743595276
03680aea-84a2-4775-bb9c-24f8c5907247,Primary Tumor,2.8631058861760574
c568fdc8-6942-44ff-a9d9-3f7a03fdc62a,Primary Tumor,6.912423527951546
06d5f913-5f62-4200-8a51-26c8fa2052b4,Primary Tumor,7.145422719600219
53b14fb6-9f29-412a-921b-49e270fa2039,Solid Tissue Normal,7.2719354448465925
65f85615-96a2-4b3c-ac05-ab67d0bf9e99,Primary Tumor,7.316682488668742
f201ba16-5cb7-42d0-9865-e413fffa3532,Primary Tumor,6.560020949071491
2d99f93c-797e-49a5-8892-a4e31e17b9c3,Solid Tissue Normal,6.035082797625526
906a6a3f-91ce-4433-9a0d-e010a61782f0,Primary Tumor,6.619216372771947
