adb14cb5-6c6a-4c9a-9611-4f560e696e21	Solid Tissue Normal, Primary Tumor
54ac15ba-abc8-4ad6-b451-a39d1835b7a3	Primary Tumor
4afd23ac-8f29-4b5e-bc28-e697cc5b125e	Solid Tissue Normal
5b022f7f-85cf-43e2-947c-02f4ee9cc40a	Solid Tissue Normal, Primary Tumor
aa095261-408b-4fc6-a64e-69e7f11409ed	Primary Tumor
cbae2071-0f0e-4d7c-8040-3ed56c87231a	Solid Tissue Normal, Primary Tumor
995ad8be-2fda-4277-8b9f-d271774a4a4a	Primary Tumor
f66f2a1c-8a63-4d92-a963-4ee8fbd78b0d	Solid Tissue Normal, Primary Tumor
d76de247-e6c4-4654-8070-f41c879e5050	Solid Tissue Normal, Primary Tumor
67012226-5f87-4691-b629-20b61d146a77	
3fcb7531-fb0c-4fc4-97c2-d763893c442a	Solid Tissue Normal, Primary Tumor
e91cf5f7-014e-48b9-b243-1177313aa794	Primary Tumor
4f7dc3db-c9d2-45f4-bc4c-4dd7836dc6ff	Primary Tumor
e64c8b5e-8c2a-4533-b9c4-585f3dfa3029	
fff70749-666e-4659-9b8d-1f2ae8caaa2e	Solid Tissue Normal, Primary Tumor
21e71fee-1eaa-413c-92a5-96d1b09569f1	Primary Tumor
84d54712-5578-4f10-9804-1993540d6680	Primary Tumor
cdd3128f-f10f-4914-9dd5-6ea8472a0704	
81d92351-c619-4585-9281-de33eaaabba4	Primary Tumor
537c6adb-7536-418c-9700-a0489a8596c8	Solid Tissue Normal
5de90efb-33b9-4711-8293-ec09f5be619c	Solid Tissue Normal, Primary Tumor
1ebdff9c-55f9-48a4-9215-1c5d9e5ca908	Primary Tumor
59ced9f5-6a3a-4724-989c-d094928bff53	
9c6b5e14-af25-467b-a43c-192ccb1b8244	Primary Tumor
beb85bbf-1f0d-4ea2-816d-c2c343a56a76	Primary Tumor
fa8fa742-9b2b-4868-9e70-0e48707850ed	Solid Tissue Normal, Primary Tumor
c3058f36-d4ed-446b-9b8c-2bcad1ce7cc5	
49c80597-6cd3-4d54-9115-5776d1c44c3a	Primary Tumor
87d0deb5-b8a3-49f5-80c9-1a7539f000cd	Solid Tissue Normal, Primary Tumor
c9d49ecd-86b3-477f-be28-186923b84599	Primary Tumor
494a74b3-b0c6-4bd3-85a9-e545155a1957	Solid Tissue Normal, Primary Tumor
a70441a8-79aa-46c4-89ba-bfe07315756e	Solid Tissue Normal
2adbac87-1656-4f60-b224-b10feef293ec	Solid Tissue Normal, Primary Tumor
8ac62f9d-f376-42d1-8981-167a4b9f2160	Primary Tumor
6a920fd6-9e7e-4d85-9dc2-0b722e43b431	Solid Tissue Normal
043c5b09-1e40-47fe-b5e5-2a56702392e1	Primary Tumor
526178c4-749b-488a-bd00-6e057bfd8679	Solid Tissue Normal, Primary Tumor
721c3bb6-671b-4be5-bdaf-55e09dca5495	Solid Tissue Normal
fed36c2a-a9bd-47ff-96db-8befb8d123a7	Blood Derived Normal
416ffd1c-70a4-433f-93a3-ca730d569d01	Solid Tissue Normal, Primary Tumor
f3783fb1-d04b-4132-bafc-ba27741c82e4	Solid Tissue Normal, Primary Tumor
08391ffb-875f-484d-ba75-2b72862b4d42	
e4373a6a-2ca3-48d9-ab54-51bd7e626700	Primary Tumor
cbf8cef8-2a1f-4c79-84bc-b3e7bb4d26f0	Primary Tumor
3d935f82-120d-40ce-9799-24f5bc05de48	Primary Tumor, Solid Tissue Normal
503cfb0d-f01a-43f6-a21e-3328fa8588fb	Solid Tissue Normal
9f8fac87-f0e1-4564-821a-3b889d4bd270	Solid Tissue Normal
e80908d4-faf0-4252-9b65-9b388936b2a5	Primary Tumor
02eee71c-fe4a-40b9-8e5f-a8691e8013e6	Primary Tumor
dcb96478-a607-4d1a-83e4-6b64642656b1	Primary Tumor
db039062-9def-48fb-9069-d37e5e5eebf1	Primary Tumor, Solid Tissue Normal
171e79bd-1ef8-4b45-921f-9a2bb73a7844	Primary Tumor
49e00f55-95dd-493c-b386-9c21c0a4eac4	Primary Tumor
37abf4c0-ecd5-4b41-898d-68c0fb9cf605	Primary Tumor
2e5071ce-d8cf-46e5-9cc0-91353f0d643c	Primary Tumor
c1c1c638-f75a-4826-a490-2ceaec09fcc4	Primary Tumor
a1ec7a3c-d133-47fd-b0bd-2f4b5c8180d6	Primary Tumor
4b42da80-2237-4517-814d-3d3848f3b3d7	Primary Tumor
4b4bb72d-6bc5-47b6-aeea-2aefb020560d	Primary Tumor, Solid Tissue Normal
b4cc8fba-387a-469a-bc7a-a5e0749dcdfd	Solid Tissue Normal
4ecf610b-c96e-4190-a13c-60234fd8e324	Primary Tumor, Blood Derived Normal
ec30cec8-36a3-4551-af4b-46ec2717ae07	Primary Tumor
d8726b28-0e5b-43b2-9fea-1f03beab1bb7	
91993a43-89bb-46e9-8f96-a588a04838d8	Primary Tumor, Blood Derived Normal
7371c57c-a237-49ab-933f-044fd7d13662	Blood Derived Normal
e4b851b2-c352-4111-8a02-f127b67d585d	Primary Tumor, Solid Tissue Normal
2e92a3ba-73a4-4dd3-9f1d-4d9b991c1c0e	Primary Tumor, Blood Derived Normal
c4ee032b-8982-45ff-9977-91fd770c4f0f	Blood Derived Normal
2c6fe5e7-9868-4a85-9187-237428976764	Solid Tissue Normal, Primary Tumor
e383c65f-feb0-4c04-9039-a3550777a3c0	Primary Tumor, Solid Tissue Normal
07c8fd3f-62c4-424c-9d74-f86d98fa12b7	Solid Tissue Normal
bb0dfa89-8510-499a-badc-9a42898350dd	Primary Tumor
84f533bf-5d8d-44cb-baa6-9aeb8760e925	
8c18e473-ce38-460b-bc23-6ea2bef18408	Solid Tissue Normal
ff37332c-7897-458c-bf95-d1c400cfc04b	Primary Tumor
eeb6fd46-7866-4ed8-93c7-20d3047822c9	Primary Tumor
979ec3ca-c27c-47bc-a7dd-8fe3b1a905bd	
dba6f380-38e4-4b0f-9dcf-2dd42960aebc	Primary Tumor
7528d4c5-25d1-4200-90b8-177e3874f2c4	Primary Tumor
22efea62-586e-4e47-acf5-d5839a8ef7fc	Primary Tumor
65c5ead3-ec7a-4f6e-90db-26bdd602ecbf	Primary Tumor, Solid Tissue Normal
06b72e88-817b-4f3c-afed-4e77f6196318	Primary Tumor
8aa38933-8f8c-46cc-a7da-51a108056eb3	Primary Tumor
b08f086c-48cf-47ba-9aa8-5d0e16fae0f8	
5c8b7fd0-3aff-456d-862a-a38f4c84d931	Primary Tumor, Solid Tissue Normal
29e5c4a5-3659-44c1-8609-82af113494e0	Primary Tumor
be015aba-e89d-443c-89ff-3c13b102c5e4	Primary Tumor
c552abf1-1ecb-4381-9a3a-4ece78d46176	Primary Tumor
f28b9a47-68b8-4549-abfd-06e3038dad7b	Primary Tumor
1ffc9218-31e4-4d96-9cc3-92de7b27e785	Primary Tumor
a66cc803-9791-4497-949f-4f56b1758f51	Primary Tumor, Solid Tissue Normal
398f9e3f-4bfb-404c-9225-71a033ae5eb1	Primary Tumor
b9122a2b-a455-4192-98f2-9015586a97a4	Solid Tissue Normal
573e1a58-cdd2-4121-80aa-570a702042c4	Primary Tumor
38bf0f96-771a-461a-9c3e-e3ea99d3ce32	Primary Tumor, Solid Tissue Normal
d012dbe2-4758-4d33-9dbe-c1844da5cfad	
cdf1a93c-f6fc-4679-8aae-db26b2f5ba69	Primary Tumor, Solid Tissue Normal
455e5c43-7152-4e89-9f26-755d8c5208d5	
176ce87c-5acc-4ef6-a72f-78b64001e143	
8931cf9f-2cb7-4b2f-b559-434379ead3b5	Primary Tumor
b50f3f4f-836d-4cf4-8f83-7ee49e4aa5bf	Primary Tumor
1438faff-0734-40d4-93fb-de208937017c	Primary Tumor
8d10b8e4-1538-475c-bd70-cd01def39faa	Primary Tumor
fbe3376a-548c-49f1-80f2-97ad907f98fe	Primary Tumor, Solid Tissue Normal
fd77a84c-dc60-4770-8f05-7832297008cb	Primary Tumor, Solid Tissue Normal
f058dea6-19d9-446e-8b50-ecea84031234	Solid Tissue Normal
0544d86c-f7c7-4c59-8514-5316537c5b1c	Primary Tumor
8fcf3451-ae2f-4054-bedb-373e0cbd7ebb	Solid Tissue Normal
fc6ff843-d245-4436-a664-8f887f3f9133	Solid Tissue Normal
9f54693c-7830-4839-adad-153d7fc3a696	Solid Tissue Normal
3819462e-5d5f-488f-8aed-ca80e303aca9	Primary Tumor, Solid Tissue Normal
e8f2cdea-1430-43ad-8359-ead8b4c5fd6e	Primary Tumor
4830d0c4-527d-4775-a69d-25be2a1a197b	Primary Tumor, Solid Tissue Normal
33d8ccc8-4474-4bee-bf8c-7923d8244a2b	Primary Tumor
c8cb74b2-9580-4bb6-95c5-d89bc9573189	Primary Tumor
1bc63e0f-b725-4ab1-9cbc-4cf22cda9cd7	Primary Tumor
5d28a0cc-583a-477e-b267-17134b541694	Primary Tumor, Solid Tissue Normal
94648e9c-8c43-4156-84e9-bbdf308d69c7	Solid Tissue Normal
069f916c-9ee5-482c-bd58-71377908995b	Solid Tissue Normal
2a8285be-1e23-4e1b-ad86-d42864cb1d74	Primary Tumor
19ab34df-1f4a-4a26-afcc-951632f010a8	Solid Tissue Normal
47586646-6880-44d0-9172-1ca5ccf3ad2c	Solid Tissue Normal
a377889d-b291-41a3-8834-9ad505055ab9	Primary Tumor
43df91ea-d566-4290-874e-e9f8d94a99a1	Solid Tissue Normal, Primary Tumor
ec08885e-753b-472a-800f-996dace76001	Primary Tumor
f3ccfab6-7da9-42c8-869a-2db128eb352e	Primary Tumor
5d5f93cc-9834-40e7-9b03-792c1d720e4d	Primary Tumor
e08995ce-7ae8-4ca0-9c96-8f6dec959f8b	Primary Tumor
62e2b2e1-b422-4caf-b84f-6f58a2125129	
c21c6c6a-9029-49a5-97d2-3ac9352458a1	Solid Tissue Normal, Primary Tumor
6159cc81-e32c-422a-a5dc-bf00526dcec7	Primary Tumor, Solid Tissue Normal
2e08708c-7c59-4242-9026-1c7f295e86c4	Primary Tumor
5294eb21-cbc9-4b94-ad83-fe088e97f19c	Primary Tumor
ce9dbee0-5b06-4e99-8272-b71a01c52f9b	Primary Tumor
3b90a058-96c8-4dbd-8262-0649c485d1de	Solid Tissue Normal
e179aad5-1a06-45de-9936-0726179a8d30	Solid Tissue Normal
a9166f91-db6f-472b-84f1-ffbe19022795	Solid Tissue Normal
0942abbb-f468-4acd-9125-484a483ba54e	Solid Tissue Normal
